McCosh Hall 2,McCosh Hall 28,McCosh Hall 4,McCosh Hall 46,McCosh Hall 60,McCosh Hall 62,McCosh Hall 64,McCosh Hall 66,McCosh Hall B12,McCosh Hall B13,McCosh Hall B22,McCosh Hall 24,McCosh Hall 26,McCosh Hall 30,McCosh Hall 34,McCosh Hall 48,McCosh Hall B11,East Pyne 023,East Pyne 027,East Pyne 043,East Pyne 215,East Pyne 233,East Pyne 235,East Pyne 239,Henry House 15,Caldwell House 203,Green 0-C-13N-S,Green 1-C-6,Green  0-S-6,Green 1 S 5,Green 1 N 11,Green 0 N 2,Green 0 N 7,Robertson 011,Robertson 012,Robertson 014,Robertson 015,Robertson 020,Robertson 029,Robertson 035,Robertson 006,Robertson 008,Frist 309,Frist 212,Jones 100,Jones 102,Guyot 154,Guyot 155,Aaron Burr 209,Aaron Burr 213,Aaron Burr 216,Wallace 333,Wallace 002,Wallace 004,Wallace 006,Peyton 145,Friend 007,Friend 005,Friend 009,Friend 016,Friend 108,Friend 109,Friend 110,Friend 111,Friend 112,Jadwin A06,Jadwin A07,Jadwin A08,Jadwin A09,McDonnel 102A,McDonnel 103A,McDonnel 104,McDonnel 107,McDonnel 101A,McDonnel 201A
1,1,1,1,2,1,1,4,5,4,2,1,1,1,2,2,1,3,1,1,1,1,1,1,2,1,1,1,2,1,1,2,3,4,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,3,3,2,1,1,1,2,3,4,2,3,3,4,1,4,3,3,1,1,2,3,1
2,2,3,5,3,5,2,,,5,3,4,2,2,,3,2,4,5,2,2,2,3,3,,,,2,3,3,2,3,4,5,5,2,4,2,5,4,3,5,3,4,2,4,2,4,3,2,4,3,3,,4,3,2,,,,,,,,,5,4,,,4,3,2,4,,3
3,3,4,,4,,3,,,,4,5,3,3,,,3,5,,3,3,3,,4,,,,3,4,4,,,,,,3,5,3,,5,4,,4,5,3,5,3,5,4,3,5,,,,,4,,,,,,,,,,,5,,,,4,3,,,4
4,4,,,5,,,,,,,,4,,,,,,,4,4,,,5,,,,4,,,,,,,,,,4,,,,,,,4,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,5
5,5,,,,,,,,,,,5,,,,,,,5,5,,,,,,,5,,,,,,,,,,5,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
